English	Svenska
shop assistant	affärsbiträde
salesperson	affärsbiträde
business English	affärsengelska
correspondent	affärsförbindelse
adventure	affärsföretag
enterprise	affärsföretag
trade	affärsgren
lawyer	affärsjurist
businesswoman	affärskvinna
business	affärsliv
businessman	affärsman
merchant	affärsman
trader	affärsman
businesslike	affärsmässig
business language	Affärsspråk
deal	affärstransaktion
bargain	affärsuppgörelse
transaction	affärsuppgörelse
business	affärsverksamhet
gain	affärsvinst
business-friendly	affärsvänlig
Afghan	afghan
Afghan	afghanhund
Afghan	afghansk
aphorism	aforism
Africa	Afrika
African	afrikan
African	afrikansk
African	afrikanska
Afro	afro-
afro-american	afro-amerikansk
aftershave lotion	aftershave
evening	afton
night	afton
eve	afton
flogging	aga
flog	aga
discipline	aga
agar	agar
agar	agar-agar
agave	agave
factor	agent
broker	agent
agent	agent
agency	agentur
play	agera
act	agera
star	agera
leap	agera mycket snabbt
chaperon	agera som förkläde åt
advise	agera som rådgivare
agent	agerande person
grudge	agg
spite	agg
unit	aggregat
aggregate	aggregat
aggression	aggression
aggressive	aggressiv
offensive	aggressiv
truculent	aggressiv
belligerent	aggressiv
agitator	agitator
agitate	agitera
agitate	agitera för
bait	agn
bait	agna
chaff	agnar
agoraphobia	agorafobi
agronomist	agronom
ah	ah! oh! åh!
AIDS	aids
cooler	air conditioner
ouch	aj
ow	aj
oh	aj!
adjourn	ajournera
continuance	ajournering
bye-bye	ajöss
academy	akademi
grad	akademiker
graduate	akademiker
academic	akademiker
registrar	akademisekreterare
academic	akademisk
diploma	akademisk examen
academic degree	akademisk examen
higher education	akademisk utbildning
diploma	akademiskt avgångsbetyg
acne	akne
acrobat	akrobat
acronym	akronym
acrylic	akryl
acrylic	akrylfiber
file	akt
act	akt
document	akt
ceremony	akt
service	akt
esteemed	aktad
respected	aktad
stern	akter
after	akter-
abaft	akter om
astern	akter ut
abaft	akter ut
quarterdeck	akterdäck
coach	akterkajuta
cabin	aktersalong
stern	akterskepp
stern	akterspegel
share	aktie
stock	aktie
mutual fund	aktieandelsfond
joint-stock company	aktiebolag
Corp.	aktiebolag
limited company	aktiebolag
limited company	aktiebolag med begränsat ansvar
controlling interest	aktiemajoritet
stock exchange	aktiemarknad
stock market	aktiemarknad
portfolio	aktieportfölj
block	aktiepost
dividend	aktieutdelning
shareholder	aktieägare
investor	aktieägare
drive	aktion
action	aktion
alive	aktiv
active	aktiv
busy	aktiv
service	aktiv användning
activate	aktivera
activation	aktivering
activist	aktivist
ginger group	aktivistgrupp
activity	aktivitet
whirl	aktivitet
game	aktivitet
action-packed	aktivitetsfylld
settlement	aktivitetshus
practising	aktivt troende
practicing	aktivt troende
estimation	aktning
respect	aktning
esteem	aktning
consideration	aktning
regard	aktning
respected	aktningsvärd
esteemed	aktningsvärd
actress	aktris
cautious	aktsam
prudent	aktsam
regardful	aktsam
update	aktualisera
current	aktuell
prevailing	aktuell
present	aktuell
live	aktuell
participant	aktör
actor	aktör
player	aktör
ham	aktör som spelar över
acupuncture	akupunktur
acoustics	akustik
acoustic	akustisk
acute	akut
emergency treatment	akutvård
watercolor	akvarell
watercolour	akvarell
aquarium	akvarium
aquavit	akvavit
alder	al
alabaster	alabaster
alabaster	alabaster-
alabaster	alabasterlik
alabaster	alabastervit
aspic	aladåb
alarm	alarm
alarm	alarmapparat
alarm	alarmera
alarming	alarmerande
Albanian	alban
Albania	Albanien
Albanian	albansk
Albanian	albanska
Albanian	albanska språket
Albanian	albanskt
albatross	albatross
albino	albino
album	album
release	album
never	aldrig
unprecedented	aldrig tidigare skådad
alert	alert
elf	alf
ABC	alfabet
alphabet	alfabet
alphabetise	alfabetisera
literacy teaching	alfabetiseringsundervisning
alphabetical	alfabetisk
index	alfabetisk förteckning
alphanumeric	alfanumeriska
alpha test	alfatest
alga	alg
algae	alger
Algerian	algerier
Algeria	Algeriet
Algerian	algerisk
Algerian	algeriskt
alias	alias
otherwise	alias
code name	alias
alibi	alibi
alienation	alienation
alienate	alienera
alienated	alienerad
jackdaw	alika
alchemy	alkemi
hermetic	alkemisk
hermetically	alkemiskt
alcohol	alkohol
spirit	alkohol
intoxication	alkoholberusning
liquor	alkoholhaltig dryck
alcoholism	alkoholism
alcoholic	alkoholist
drinker	alkoholist
drunkard	alkoholist
breathalyse	alkoholtest
recess	alkov
alcove	alkov
all	all
every	all
universal	all-
all	all möjlig
everyone	alla
all	alla
what	alla
everybody	alla
everyone	alla människor
everybody	alla människor
sundry	alla möjliga
what	alla som
garrison	alla trupper på en ort
commonplace	alldaglig
trite	alldaglig
pedestrian	alldaglig
workaday	alldaglig
everyday	alldaglig
ordinary	alldaglig
plain	alldaglig
absolutely	alldeles
clear	alldeles
stark	alldeles
dead	alldeles
quite	alldeles
next	alldeles
just	alldeles
all	alldeles
altogether	alldeles
fairly	alldeles
plenty	alldeles
late	alldeles nyss
just now	alldeles nyss
emphatically	alldeles särskilt
whereas	alldenstund
avenue	allé
walk	allé
allegory	allegori
parable	allegori
alone	allena
universal	allenarådande
allergy-causing	allergent
allergy	allergi
hypersensitive	allergisk
allergic	allergisk
everybody	allesammans
everyone	allesammans
everywhere	allestädes
omnipresent	allestädes närvarande
almighty	allhärskande
alliance	allians
alignment	allians
non-aligned	alliansfri
ally	alliera
align	alliera sig med
allied	allierad
ally	allierad
alligator	alligator
alligator	alligatorskinn
all	allihop
alms	allmosa
alms	allmosor
charity	allmosor
current	allmän
open	allmän
broad	allmän
catholic	allmän
prevailing	allmän
universal	allmän
public	allmän
general	allmän
G	allmän
vague	allmän
general eligibility	allmän behörighet
plebiscite	allmän folkomröstning
prevalence	allmän förekomst
green	allmän gräsplan
bank holiday	allmän helgdag
general course	allmän kurs
utility	allmän nyttighet
peace	allmän ordning i ett land
state school	Allmän skola
battle royal	allmän strid/kamp
compulsory military service	allmän värnplikt
national service	allmän värnplikt
prosecuting attorney	allmän åklagare
district attorney	allmän åklagare
public school	allmän/kommunal skola
well-read	allmänbildad
general education	allmänbildning
universal	allmängiltig
public	allmänhet
multitude	allmänheten
ecumenical	allmänkyrklig
common	allmänn
general admission requirements	allmänna antagningskrav
National Health Service	allmänna hälso- och sjukvården
general admission requirements	allmänna krav
code	allmänna regler
common	allmänning
generically	allmänt
everywhere	allmänt
vaguely	allmänt
convention	allmänt accepterad uppfattning
convention	allmänt accepterad uppfattning i fråga om socialt uppträdande
household name	allmänt bekant
standard	allmänt erkänd
admitted	allmänt erkänd
accepted	allmänt erkänd
currency	allmänt gehör
celebrated	allmänt känd
general meeting	allmänt sammanträde
widespread	allmänt spridd
allocate	allokera
allocation	allokering
universal	allomfattande
all-embracing	allomfattande
all-encompassing	allomfattande
very	allra
all-round	allround
any	alls
comprehensive	allsidig
universal	allsidig
all-round	allsidig
sundry	allsköns
omnipotent	allsmäktig
almighty	allsmäktig
sing	allsång
all	allt
everything	allt
lot	allt
factotum	allt i allo
decreasingly	allt mindre
altogether	allt som allt
overall	allt som allt
according to	alltefter
according as	allteftersom
over	alltför
overly	alltför
too	alltför
indulgent	alltför eftergiven
overgrowth	alltför frodig vegetation
simplistic	alltför förenklad
lavish	alltför generös
short	alltför kort
underestimate	alltför låg beräkning
hasty	alltför snabb
lengthy	alltför utförlig
forever	alltid
ever	alltid
always	alltid
since	alltifrån
everything	alltihop
all	alltihop
lot	alltihop
everything	allting
all	allting
still	alltjämt
increasingly	alltmer
everything	alltsammans
all	alltsammans
since	alltsedan
since	alltsedan dess
consequently	alltså
thus	alltså
then	alltså
therefore	alltså
allude to	alludera på
alluvial	alluvial
alluvial	alluvialjord
gravity	allvar
enormity	allvar
earnest	allvarlig
solemn	allvarlig
deadpan	allvarlig
demure	allvarlig
serious	allvarlig
astringent	allvarlig
urgent	allvarlig
grave	allvarlig
bad	allvarlig
gravity	allvarlighet
deadpan	allvarligt
seriously	allvarligt
effort	allvarligt försök
flirt with	allvarligt riskera
serious	allvarligt sinnad
grave	allvarsam
serious	allvarsam
omniscient	allvetande
omnivorous	allätande
elm	alm
almanac	almanacka
diary	almanacka
calendar	almanacka
alpine	alp-
alpine	alpin
mountaineering	alpinism
mountaineer	alpinist
alpine	alpinsk
effort	alster
offspring	alster
progeny	alster
product	alster
work	alster
produce	alstra
generate	alstra
engender	alstra
breed	alstra
procreate	alstra
origination	alstrande
generation	alstring
breeding	alstring
alto	alt
alto	alt-
balcony	altan
choir	altardelen i kyrka
chancel	altardelen i kyrka
altar	altare
AltaVista	AltaVista
alter ego	alter ego
choice	alternativ
alternative	alternativ
option	alternativ
alternative course	alternativ kurs
alternative course of study	alternativ studiegång
trade off	alternera
alternate	alternera
interchange	alternera
alternate	alternerande
viola	altfiol
altruism	altruism
alto	altstämma
aluminium	aluminium
aluminum	aluminium
tinfoil	aluminiumfolie
alumna	alumn
alumnus	alumn
amalgam	amalgam
amalgamate	amalgamera
teaching assistant	amanuens
Amazon	amason
amateur	amatör
amateur	amatörspelare
virago	amazon
embassy	ambassad
mission	ambassad
chancellory	ambassadkanslier
ambassador	ambassadör
chancery	ambassadörs eller konsuls kontor
tenure	ambetstid
ambidextrous	ambidexter
ambition	ambition
want	ambition
ambition	ambitioner
ambitious	ambitiös
ambivalent	ambivalent
ambulance	ambulans
ambulate	ambulera
amen	amen
America	Amerika
American	amerikan
American	amerikanare
americanization	amerikanisering
American	amerikansk
US	amerikansk
agave	amerikansk aloe
greenback	amerikansk dollarsedel
Hollywood	amerikansk filmindustri
girl guide	amerikansk flickscout
football	amerikansk fotboll
frontiersman	amerikansk nybyggare
caribou	amerikansk ren
GI	amerikansk soldat
bourbon	amerikansk whisky
American	amerikanska
flag day	amerikanska flaggans dag som firas den 14 juni till minnet av att den amerikanska flaggan användes officiellt för första gången den 14 juni 1777
speed	amfetamin
amphibian	amfibie
amphibian	amfibieflygplan
amphibian	amfibiefordon
amphibian	amfibisk
amphitheatre	amfiteater
admiral	amiral
admiral	amiralfjäril
nurse	amma
breast-feed	amma
wet-nurse	amma
suckle	amma
breast-fed	ammad
breast-feed	ammande
ammonia	ammoniak
ammunition	ammunition
ammo	ammunition
magazine	ammunitionsförråd
caisson	ammunitionsvagn
amnesia	amnesi
amnesty	amnesti
pardon	amnesti
amnion	amnion
amok	amok
amuck	amok
amoral	amoralisk
amortize	amortera
instalment	amortering
amortization	amortering
installment	amortering
payment	amortering
amortization	amorteringsbelopp
sinking fund	amorteringsfond
profuse	ampel
unstinted	ampel
A	ampere
ampere	ampere
amplitude	amplitud
ampoule	ampull
stump	amputationsstump
amputate	amputera
National Labour Market Board	AMS
employment training centre	AMU-center
charm	amulett
amulet	amulett
National Employment Training Board	AMU-styrelsen
smell	ana
forebode	ana
think	ana
imagine	ana
suspect	ana
anticipate	ana
anabolic	anabol
anachronism	anakronism
anal	anal
anal	anal-
illiterate	analfabet
illiteracy	analfabetism
analog	analog
analogue	analog
analogous	analog
proportion	analogi
analogy	analogi
buggery	analsamlag
breakdown	analys
assessment	analys
anatomy	analys
assay	analys
analysis	analys
assay	analysera
work	analysera
analyse	analysera
break down	analysera
construe	analysera
assess	analysera
analyze	analysera
analyzer	analytiker
analyser	analytiker
analyst	analytiker
analytical	analytisk
anus	analöppning
vent	analöppning
embrace	anamma
receive	anamma
anamnesis	anamnes
pineapple	ananas
anarchy	anarki
anarchist	anarkist
anatomy	anatomi
charge	anbefalla
commend	anbefalla
recommend	anbefalla
command	anbefalla
enjoin	anbefalla
come to	anbelanga
sight	anblick
view	anblick
aspect	anblick
spectacle	anblick
fix	anbringa
affix	anbringa
fit	anbringa
position	anbringa
apply	anbringa
wing	anbringa sidostycke
offer	anbud
tender	anbud
advance	anbud
bid	anbud
quotation	anbud
duck	and
atmosphere	anda
spirit	anda
breath	anda
worship	andakt
Andalusia	Andalusien
andante	andante
andante	andante-
breathe	andas
respire	andas
breathing	andas
breathe	andas fram
draw	andas in
inspire	andas in
respire	andas in
inhale	andas in
respire	andas ut
breathe	andas ut
heart	ande
being	ande
genie	ande
wraith	ande
spirit	ande
genius	ande
mind	ande
ghost	ande
spiritual	ande-
genie	ande i arabiska sagor
respiration	andedrag
breath	andedrag
breath	andedräkt
jejune	andefattig
vacuous	andefattig
lifeless	andefattig
vapid	andefattig
barren	andefattig
due	andel
lot	andel
part	andel
stake	andel
share	andel
interest	andel
toll	andel
quota	andel
allotment	andel
concern	andel
cut	andel
proportion	andel
cut	andel i vinst
cooperative	andels-
condominium	andelsfastighet
condominium	andelslägenhet
time-share	andelssystem för fritidslägenheter
spirit	andemening
Anderson	Andersson
respiration	andetag
breath	andetag
breathless	andfådd
respiration	andhämtning
religious	andlig
spiritual	andlig
inward	andlig
manifestation	andlig uppenbarelse
spirituality	andlighet
breathless	andlös
breath	andning
respiration	andning
wind	andning
dyspnoea	andnöd
Andorra	Andorra
second	andra
adduce	andra
other	andra
second	andra-
beta	andra bokstaven i det grekiska alfabetet
alter ego	andra jag
second	andra klass
second	andra man
middle name	andra namn
silver	andra pris
adduce	andraga
urge	andraga
second	andrahands-
second-hand	andrahands-
sublet	andrahandslägenhet
coach	andraklass
sophomore	andraårsstuderande
deputy	andre
second	andre
androgyne	androgyn
androgynous	androgyn
breath	andrum
respite	andrum
breathless	andtruten
dental care	andvård
anecdote	anekdot
story	anekdot
chestnut	anekdot
anemia	anemi
anaemia	anemi
anaemic	anemisk
anemic	anemisk
anemone	anemon
aneroid	aneroid
aneroid	aneroid-
anaesthesia	anestesi
anesthesia	anestesi
anaesthetist	anestesiolog
anesthetist	anestesiolog
anesthesiology	anestesiologi
anaesthesiology	anestesiologi
anaesthetic	anestetisk
anesthetic	anestetisk
ancestor	anfader
charge	anfall
explosion	anfall
offence	anfall
gust	anfall
aggression	anfall
strike	anfall
access	anfall
attack	anfall
flash	anfall
onset	anfall
assault	anfall
fit	anfall
bout	anfall
turn	anfall
burst	anfall
pet	anfall av dåligt humör
engage	anfalla
go for	anfalla
attack	anfalla
assail	anfalla
assault	anfalla
strike	anfalla
charge	anfalla
bushwhack	anfalla bakifrån
flank	anfalla i flanken
offensive	anfalls-
charge	anfallssignal
striker	anfallsspelare
forward	anfallsspelare
initial	anfang
headpiece	anfangsöverstycke
request	anfordran
harass	anfäkta
beset	anfäkta
cite	anföra
assign	anföra
adduce	anföra
lodge	anföra
conduct	anföra
quote	anföra
lead	anföra
present	anföra
head	anföra
direct	anföra
bring	anföra
state	anföra
captain	anföra
argue	anföra skäl
instance	anföra som exempel
plead	anföra som försvar
plead	anföra som ursäkt
headship	anförande
heading	anförande
address	anförande
speech	anförande
induction	anförande
quotation	anförande
pilot	anförare
commander	anförare
above-mentioned	anförd
argument	anfört skäl
commit	anförtro
delegate	anförtro
entrust	anförtro
deposit	anförtro
confide	anförtro
recommend	anförtro någon
confide in	anförtro sig åt
commission	anförtroende
relative	anförvant
relation	anförvant
show	ange
assign	ange
give up	ange
name	ange
report	ange
state	ange
designate	ange
denote	ange
indicate	ange
itemise	ange i detalj
itemize	ange i detalj
inform	ange någon
position	ange platsen för
lead	ange tonen
desirable	angelägen
wishful	angelägen
eager	angelägen
important	angelägen
urgent	angelägen
anxious	angelägen
pressing	angelägen
coquettish	angelägen om att bli beundrad
coquettish	angelägen om att bli beundrad av män
matter	angelägenhet
business	angelägenhet
question	angelägenhet
concern	angelägenhet
affair	angelägenhet
importance	angelägenhet
affairs	angelägenheter
anxiously	angeläget
pleasing	angenäm
good	angenäm
agreeable	angenäm
enjoyable	angenäm
nice	angenäm
pleasant	angenäm
grateful	angenäm
delightful	angenäm
comfortable	angenäm
pleasurable	angenäm
grand	angenäm
gratefully	angenämt
comfortably	angenämt
angioneurosis	angioneuros
betoken	angiva
designation	angivande
indication	angivande
stated	angiven
specialist in English studies	anglist
anglo-saxon	anglosaxisk
Angolan	angolan
Angolan	angolansk
strike	angrepp
aggression	angrepp
attack	angrepp
onset	angrepp
assault	angrepp
attempt	angrepp
attack	angripa
assail	angripa
assault	angripa
rush	angripa
strike	angripa
accuse	angripa
tackle	angripa
affect	angripa
tackling	angripande
aggressive	angripande
intruder	angriparen
gangrene	angripas av kallbrand
mildew	angripas av mögel eller mjöldagg
afflicted	angripen
affected	angripen
contiguous	angränsande
adjoining	angränsande
adjacent	angränsande
beside	angränsande till
concern	angå
respect	angå
interest	angå
regard	angå
appertain to	angå
regarding	angående
about	angående
over	angående
concerning	angående
touch	angöra
halt	anhalt
stop-over	anhalt
connection	anhang
lot	anhang
accumulation	anhopning
cluster	anhopning
arrest	anhålla
ask	anhålla
beg	anhålla
apprehend	anhålla
petition	anhålla om
request	anhålla om
request	anhållan
suit	anhållan
arrest	anhållande
apprehension	anhållande
rooter	anhängare
backer-up	anhängare
sympathizer	anhängare
camp follower	anhängare
clientele	anhängare
follower	anhängare
supporter	anhängare
following	anhängare
subscriber	anhängare
adherent	anhängare
sympathiser	anhängare
backer	anhängare
believer	anhängare av
colonialist	anhängare av kolonialism
Communist	anhängare av kommunismen
following	anhängarskara
people	anhöriga
carer	anhörigvårdare
animal	animal
animal	animalisk
animate	animat
animation	animation
animator	animatör
animate	animera
heated	animerad
inkling	aning
hint	aning
suspicion	aning
presentiment	aning
dash	aning
idea	aning
conception	aning
notion	aning
trifle	aning
shade	aning
touch	aning
naive	aningslös
unsuspecting	aningslös
aniseed	anis
aniseed	anisfrö
duck	anka
anchor	ankare
tie	ankare
armature	ankare
ankle	ankel
tax	anklaga
charge	anklaga
inform	anklaga
accuse	anklaga
article	anklaga
tax with	anklaga för
accuser	anklagare
charge	anklagelse
accusation	anklagelse
indictment	anklagelse inför domstol
approval	anklang
connect	anknyta
link	anknyta
affiliation	anknytning
association	anknytning
connection	anknytning
extension	anknytning
arrive	ankomma
high	ankommen
coming	ankomst
arrival	ankomst
appearance	ankomst
ability	anlag
tendency	anlag
aptitude	anlag
endowment	anlag
predisposition	anlag
aptitude test	anlagstest
excuse	anledning
ground	anledning
reason	anledning
occasion	anledning
motive	anledning
cause	anledning
matter	anledning
score	anledning
sense	anledning
grounds	anledning
fear	anledning till fruktan
grievance	anledning till klagan/missnöje
comeback	anledning till klagomål
anxiety	anledning till oro
bogey	anledning till rädsla
countenance	anlete
visage	anlete
feature	anletsdrag
use	anlita
hire	anlita
engage	anlita
brief	anlita
employ	anlita
dash	anlopp
lay out	anlägga
construct	anlägga
assume	anlägga
erect	anlägga
build	anlägga
terrace	anlägga terrasser
construction	anläggande
plant	anläggning
establishment	anläggning
equipment	anläggning
building	anläggning
complex	anläggning
power plant	anläggning där elektrisk energi produceras
works	anläggningar
come	anlända
arrive	anlända
get in	anlända
get	anlända
arrive	anlända till slutstationen
touch	anlöpa
port of call	anlöpningshamn
invite	anmoda
urge	anmoda
desire	anmoda
request	anmoda
tell	anmoda
application	anmodan
instance	anmodan
invitation	anmodan
request	anmodan
present	anmäla
prefer	anmäla
enter	anmäla
review	anmäla
declare	anmäla
notice	anmäla
report	anmäla
announce	anmäla
notify	anmäla
register	anmäla
inform	anmäla någon
register	anmäla sig
report	anmäla sig
volunteer	anmäla sig som frivillig
enter	anmäla sig till
registration	anmälan
report	anmälan
entry	anmälan
declaration	anmälan
notice	anmälan
announcement	anmälan
application	anmälan
notification	anmälan
review	anmälan
enrolment	anmälda
notification	anmält fall
observe	anmärka
quarrel	anmärka
remark on	anmärka
remark on	anmärka på
fault	anmärka på
criticize	anmärka på
observe	anmärka på
observation	anmärkning
reflection	anmärkning
comment	anmärkning
complaint	anmärkning
knock	anmärkning
criticism	anmärkning
demerit	anmärkning
note	anmärkning
commentary	anmärkningar
striking	anmärkningsvärd
notable	anmärkningsvärd
remarkable	anmärkningsvärd
noticeable	anmärkningsvärd
conspicuously	anmärkningsvärt
annals	annaler
gathering	annalkande
approach	annalkande
coming	annalkande
new	annan
another	annan
other	annan
new	annan än tidigare
than	annan/annat än
Boxing Day	annandag jul
else	annars
or	annars
otherwise	annars
before	annars
other	annat
otherwise	annat
annex	annektera
wing	annex
annexe	annex
announcement	annons
advertisement	annons
ad	annons
advert	annons
advertise	annonsera
advertise	annonsera efter
advertising	annonsering
ad	annonsering
advert	annonsering
advertisement	annonsering
adware	annonsprogram
copy	annonstext
otherwise	annorledes
differently	annorlunda
distinctive	annorlunda
otherwise	annorlunda
different	annorlunda
elsewhere	annorstädes
alibi	annorstädes
abate	annullera
cancel	annullera
annul	annullera
discharge	annullera
void	annullera
cancellation	annullering
abatement	annullering
anodize	anodisera
anomaly	anomali
anonymous	anonym
anon	anonym
anonymously	anonymt
ancestry	anor
lineage	anor
parka	anorak
anorak	anorak
hold	anordna
organize	anordna
order	anordna
organizer	anordnare
gear	anordning
disposition	anordning
gadget	anordning
appliance	anordning
apparatus	anordning
arrangement	anordning
device	anordning
lock	anordning i en flod eller kanal som gör det möjligt att flytta båtar från en vattennivå till en annan
clutch	anordning som reglerar kraftöverföringen i en bil
anorexia	anorexi
anoxemia	anoxemi
anoxia	anoxi
suit	anpassa
vary	anpassa
adjust	anpassa
match	anpassa
condition	anpassa
proportion	anpassa
fit	anpassa
acclimatize	anpassa
pitch	anpassa
dovetail	anpassa
modulate	anpassa
adapt	anpassa
regulate	anpassa
trim	anpassa
attune	anpassa
key to	anpassa för
conform	anpassa sig
adjust	anpassa sig
adapt	anpassa sig
accommodate	anpassa sig efter nya förhållanden
conform	anpassa sig till
pitch	anpassa till en viss nivå
suited	anpassad
adapted	anpassad
adjusted	anpassad
adjusted study programme	anpassad studiegång
flexible	anpassbar
adaptable	anpasslig
conformity	anpassning
conformation	anpassning
adaptation	anpassning
adjustment	anpassning
accommodation	anpassning
conformation	anpassning efter
conformity	anpassning till
adaptable	anpassningsbar
adaptive	anpassningsbar
adaptable	anpassningsbara
adaptability	anpassningsförmåga
adjustment	anpassningsförmåga
traditional	anrik
enrich	anrika
concentrate	anrika
concentration	anrikning
enrichment	anrikning
concentrator	anrikningsverk
call	anrop
call	anropa
invoke	anropa
challenge	anropa
invocation	anropande
dress	anrätta
prepare	anrätta
cook	anrätta
dish	anrättning
preparation	anrättning
tend	ansa
groom	ansa
pick over	ansa
accumulation	ansamling
groom	ansas
run-up	ansats
approach	ansats
run	ansats för hopp
esteem	anse
think	anse
feel	anse
judge	anse
treat	anse
regard	anse
find	anse
take	anse
reckon	anse
put down	anse
rate	anse
count	anse
consider	anse
estimate	anse
deem	anse
believe	anse för troligt
think	anse som
consider	anse som
account	anse såsom
prize	anse vara av högt värde
considered	ansedd
eminent	ansedd
reputable	ansedd
esteemed	ansedd
respected	ansedd
credit	anseende
estimation	anseende
authority	anseende
fame	anseende
face	anseende
character	anseende
account	anseende
consideration	anseende
reputation	anseende
standing	anseende
eminence	anseende
appreciable	ansenlig
goodly	ansenlig
substantial	ansenlig
considerable	ansenlig
handsome	ansenlig
fair	ansenlig
physiognomy	ansikte
countenance	ansikte
face	ansikte
aspect	ansikte
visage	ansikte
before	ansikte mot ansikte med
facial	ansikts-
facial	ansiktsbehandling
furrow	ansiktsfåra
